Age,Revenu,Genre,IMC,Achats,Score_Credit,Nombre_Enfants,Statut_Marital,Ville,Depenses_Mensuelles,Epargne,Temps_Travail,Satisfaction_Client,Anciennete_Client,Score_Sante
54,72134.0,Homme,37.0,41,337,2,Marié,Dakar,21230.0,9013.0,50,3,15,18
67,147413.0,Homme,35.0,38,324,0,Célibataire,Kaolack,93301.0,39113.0,11,4,17,1
44,105327.0,Femme,19.4,24,709,4,Marié,Kaolack,15902.0,3574.0,28,5,8,91
30,146410.0,Homme,29.1,45,760,3,Divorcé,Thiès,76758.0,32480.0,25,3,3,95
58,26344.0,Homme,18.5,31,716,2,Marié,Kaolack,37050.0,7838.0,52,1,8,61
23,147822.0,Femme,17.1,23,656,4,Divorcé,Saint-Louis,84586.0,28363.0,53,3,1,82
76,82957.0,Femme,31.8,47,682,1,Marié,Thiès,79110.0,31368.0,34,5,8,15
36,120423.0,Homme,28.8,46,457,2,Divorcé,Thiès,86693.0,32228.0,10,4,8,93
54,73053.0,Homme,18.0,43,732,4,Célibataire,Kaolack,29575.0,49711.0,11,2,17,21
73,,Femme,16.8,8,347,2,Marié,Dakar,68940.0,46097.0,57,2,10,13
34,105600.0,Homme,inconnu,39,627,0,Marié,Dakar,50244.0,28639.0,36,2,12,55
38,137732.0,Homme,16.7,49,732,0,Divorcé,Dakar,93481.0,14823.0,11,4,5,64
26,52641.0,Femme,26.7,22,730,0,Divorcé,Dakar,24962.0,23510.0,39,2,8,44
26,44711.0,Femme,28.1,49,355,5,Marié,Thiès,87332.0,38333.0,19,5,15,53
39,,Homme,18.8,12,567,1,Divorcé,Thiès,34450.0,4435.0,28,4,3,65
68,121896.0,Homme,20.1,31,368,0,Célibataire,Kaolack,63494.0,38418.0,51,2,1,85
51,,Homme,24.4,49,748,1,Marié,Dakar,55037.0,20553.0,25,1,6,45
55,71276.0,Femme,34.3,14,556,0,Célibataire,Dakar,93040.0,7436.0,22,4,14,32
39,34541.0,Homme,28.2,35,789,5,Marié,Kaolack,40041.0,36476.0,57,4,5,78
18,109457.0,Homme,31.3,48,348,2,Célibataire,Kaolack,20715.0,47219.0,59,3,10,49
37,erreur,Femme,39.6,4,615,4,Marié,Kaolack,31803.0,34477.0,17,2,19,21
68,39070.0,Femme,34.4,21,712,4,Divorcé,Saint-Louis,78906.0,24244.0,59,1,16,39
17,95559.0,Homme,26.4,15,733,0,Marié,Kaolack,71726.0,42721.0,40,5,3,38
39,56786.0,Femme,26.7,40,301,4,Célibataire,Kaolack,11908.0,1692.0,54,4,18,40
59,51062.0,Femme,30.9,9,444,0,Marié,Saint-Louis,47075.0,15523.0,34,5,6,74
45,66571.0,Homme,32.0,23,665,0,Célibataire,Dakar,74587.0,32326.0,48,5,10,67
53,40510.0,Femme,28.0,17,719,3,Célibataire,Thiès,63648.0,47090.0,30,5,12,6
17,34426.0,Femme,31.5,48,743,3,Célibataire,Dakar,31134.0,42205.0,59,3,2,84
79,52265.0,Homme,16.6,17,733,3,Divorcé,Thiès,66143.0,125.0,47,5,13,70
75,81150.0,Femme,26.3,6,356,1,Marié,Thiès,79123.0,45712.0,50,2,1,3
36,1000000,Homme,22.7,3,477,3,Célibataire,Kaolack,55153.0,1199.0,38,2,17,75
48,104613.0,Homme,19.1,25,592,0,Divorcé,Kaolack,12413.0,38860.0,15,1,4,90
27,89910.0,Femme,18.4,4,345,5,Célibataire,Saint-Louis,32555.0,16375.0,27,1,12,58
73,67375.0,Femme,30.5,15,469,5,Marié,Dakar,20952.0,2711.0,58,5,12,80
37,136826.0,Femme,28.6,34,570,2,Divorcé,Dakar,78993.0,32437.0,53,5,13,83
76,50435.0,Homme,22.1,25,716,3,Célibataire,Thiès,84000.0,28022.0,44,3,11,94
59,111443.0,Femme,27.3,17,438,5,Célibataire,Kaolack,76686.0,9182.0,36,5,12,25
40,149055.0,Homme,27.8,28,546,3,Célibataire,Kaolack,42264.0,27641.0,14,5,17,30
64,38510.0,Femme,20.7,22,447,2,Marié,Dakar,57553.0,29530.0,16,5,12,98
42,109071.0,Femme,31.7,13,529,5,Divorcé,Saint-Louis,64359.0,22612.0,19,4,3,72
74,,Femme,120,14,673,0,Divorcé,Kaolack,19808.0,5995.0,19,4,9,68
78,59547.0,Homme,35.0,48,379,1,Divorcé,Saint-Louis,62330.0,40950.0,37,3,4,51
57,69620.0,Femme,30.5,32,364,3,Célibataire,Dakar,48345.0,38270.0,45,3,17,71
79,130608.0,Femme,28.3,24,387,5,Divorcé,Dakar,79617.0,12920.0,19,2,7,20
43,22564.0,Homme,17.5,20,387,5,Célibataire,Saint-Louis,49222.0,22144.0,59,3,13,15
75,128824.0,Homme,22.9,16,503,2,Marié,Kaolack,67755.0,18882.0,44,2,1,50
31,94273.0,Femme,18.2,22,681,0,Divorcé,Dakar,18933.0,2565.0,44,5,7,15
30,89859.0,Femme,39.1,42,775,4,Célibataire,Thiès,78207.0,23373.0,46,3,15,17
77,125017.0,Femme,19.2,16,838,5,Divorcé,Dakar,53739.0,43557.0,57,3,6,46
77,138618.0,Homme,19.6,13,513,1,Divorcé,Kaolack,57738.0,5024.0,29,3,2,55
62,140341.0,Homme,37.3,28,1000,2,Marié,Thiès,94544.0,24691.0,22,2,3,27
77,44430.0,Homme,38.7,19,360,5,Divorcé,Dakar,31883.0,33799.0,20,2,6,81
66,42788.0,Homme,34.4,29,842,5,Marié,Kaolack,53401.0,1241.0,54,1,3,77
59,84346.0,Femme,16.1,18,518,2,Divorcé,Kaolack,25380.0,34510.0,28,2,8,55
70,111122.0,Homme,16.0,38,311,2,Divorcé,Dakar,28212.0,38477.0,37,2,16,36
